SeesEnemy;HearEnemy;EnemyInRange;HP;Action
FALSE;FALSE;FALSE;100;Idle
FALSE;FALSE;TRUE;50;Idle
FALSE;FALSE;FALSE;25;Idle
FALSE;FALSE;TRUE;65;Idle
TRUE;FALSE;TRUE;40;Attacking
TRUE;TRUE;TRUE;80;Attacking
TRUE;FALSE;TRUE;10;Attacking
TRUE;TRUE;TRUE;85;Attacking
FALSE;TRUE;TRUE;60;Seeking
FALSE;TRUE;FALSE;90;Seeking
FALSE;TRUE;TRUE;15;Seeking
FALSE;TRUE;FALSE;70;Seeking
TRUE;TRUE;FALSE;20;Chasing
TRUE;FALSE;FALSE;30;Chasing
TRUE;TRUE;FALSE;35;Chasing
TRUE;FALSE;FALSE;55;Chasing
TRUE;TRUE;TRUE;0;Dead
FALSE;FALSE;FALSE;0;Dead
TRUE;TRUE;FALSE;0;Dead
FALSE;FALSE;TRUE;0;Dead
